"TIME","GEO","UNIT","INDIC_EN","Value"
"2008","Cyprus","Percentage","Share of renewable energy in electricity","0,3"
"2008","Cyprus","Percentage","Share of renewable energy in heating and cooling","14,5"
"2008","Latvia","Percentage","Share of renewable energy in gross final energy consumption","29,8"
"2008","Latvia","Percentage","Share of renewable energy in transport","1,7"
"2008","Latvia","Percentage","Share of renewable energy in electricity","38,7"
"2008","Latvia","Percentage","Share of renewable energy in heating and cooling","42,9"
"2008","Lithuania","Percentage","Share of renewable energy in gross final energy consumption","17,8"
"2008","Lithuania","Percentage","Share of renewable energy in transport","4,3"
"2008","Lithuania","Percentage","Share of renewable energy in electricity","4,9"
"2008","Lithuania","Percentage","Share of renewable energy in heating and cooling","32,0"
"2008","Luxembourg","Percentage","Share of renewable energy in gross final energy consumption","2,8"
"2008","Luxembourg","Percentage","Share of renewable energy in transport","2,2"
"2008","Luxembourg","Percentage","Share of renewable energy in electricity","3,6"
"2008","Luxembourg","Percentage","Share of renewable energy in heating and cooling","4,6"
"2008","Hungary","Percentage","Share of renewable energy in gross final energy consumption","8,6"
"2008","Hungary","Percentage","Share of renewable energy in transport","5,1"
"2008","Hungary","Percentage","Share of renewable energy in electricity","5,3"
"2008","Hungary","Percentage","Share of renewable energy in heating and cooling","12,0"
"2008","Malta","Percentage","Share of renewable energy in gross final energy consumption","0,2"
"2008","Malta","Percentage","Share of renewable energy in transport","0,0"
"2008","Malta","Percentage","Share of renewable energy in electricity","0,0"
"2008","Malta","Percentage","Share of renewable energy in heating and cooling","1,7"
"2008","Netherlands","Percentage","Share of renewable energy in gross final energy consumption","3,6"
"2008","Netherlands","Percentage","Share of renewable energy in transport","2,9"
"2008","Netherlands","Percentage","Share of renewable energy in electricity","7,5"
"2008","Netherlands","Percentage","Share of renewable energy in heating and cooling","3,1"
"2008","Austria","Percentage","Share of renewable energy in gross final energy consumption","27,8"
"2008","Austria","Percentage","Share of renewable energy in transport","9,5"
"2008","Austria","Percentage","Share of renewable energy in electricity","65,1"
"2008","Austria","Percentage","Share of renewable energy in heating and cooling","25,3"
"2008","Poland","Percentage","Share of renewable energy in gross final energy consumption","7,7"
"2008","Poland","Percentage","Share of renewable energy in transport","4,0"
"2008","Poland","Percentage","Share of renewable energy in electricity","4,4"
"2008","Poland","Percentage","Share of renewable energy in heating and cooling","10,9"
"2008","Portugal","Percentage","Share of renewable energy in gross final energy consumption","23,0"
"2008","Portugal","Percentage","Share of renewable energy in transport","2,5"
"2008","Portugal","Percentage","Share of renewable energy in electricity","34,1"
"2008","Portugal","Percentage","Share of renewable energy in heating and cooling","37,5"
"2008","Romania","Percentage","Share of renewable energy in gross final energy consumption","20,5"
"2008","Romania","Percentage","Share of renewable energy in transport","3,5"
"2008","Romania","Percentage","Share of renewable energy in electricity","28,1"
"2008","Romania","Percentage","Share of renewable energy in heating and cooling","23,2"
"2008","Slovenia","Percentage","Share of renewable energy in gross final energy consumption","15,0"
"2008","Slovenia","Percentage","Share of renewable energy in transport","1,8"
"2008","Slovenia","Percentage","Share of renewable energy in electricity","30,0"
"2008","Slovenia","Percentage","Share of renewable energy in heating and cooling","19,2"
"2008","Slovakia","Percentage","Share of renewable energy in gross final energy consumption","7,7"
"2008","Slovakia","Percentage","Share of renewable energy in transport","4,3"
"2008","Slovakia","Percentage","Share of renewable energy in electricity","17,0"
"2008","Slovakia","Percentage","Share of renewable energy in heating and cooling","6,1"
"2008","Finland","Percentage","Share of renewable energy in gross final energy consumption","31,3"
"2008","Finland","Percentage","Share of renewable energy in transport","2,9"
"2008","Finland","Percentage","Share of renewable energy in electricity","27,3"
"2008","Finland","Percentage","Share of renewable energy in heating and cooling","43,3"
"2008","Sweden","Percentage","Share of renewable energy in gross final energy consumption","45,3"
"2008","Sweden","Percentage","Share of renewable energy in transport","8,3"
"2008","Sweden","Percentage","Share of renewable energy in electricity","53,6"
"2008","Sweden","Percentage","Share of renewable energy in heating and cooling","61,1"
"2008","United Kingdom","Percentage","Share of renewable energy in gross final energy consumption","2,7"
"2008","United Kingdom","Percentage","Share of renewable energy in transport","2,3"
"2008","United Kingdom","Percentage","Share of renewable energy in electricity","5,5"
"2008","United Kingdom","Percentage","Share of renewable energy in heating and cooling","1,9"
"2008","Iceland","Percentage","Share of renewable energy in gross final energy consumption","67,4"
"2008","Iceland","Percentage","Share of renewable energy in transport","0,1"
"2008","Iceland","Percentage","Share of renewable energy in electricity","90,8"
"2008","Iceland","Percentage","Share of renewable energy in heating and cooling","62,0"
"2008","Norway","Percentage","Share of renewable energy in gross final energy consumption","61,7"
"2008","Norway","Percentage","Share of renewable energy in transport","5,3"
"2008","Norway","Percentage","Share of renewable energy in electricity","99,6"
"2008","Norway","Percentage","Share of renewable energy in heating and cooling","30,8"
"2008","Montenegro","Percentage","Share of renewable energy in gross final energy consumption","32,3"
"2008","Montenegro","Percentage","Share of renewable energy in transport","0,9"
"2008","Montenegro","Percentage","Share of renewable energy in electricity","38,3"
"2008","Montenegro","Percentage","Share of renewable energy in heating and cooling","46,0"
"2008","Former Yugoslav Republic of Macedonia, the","Percentage","Share of renewable energy in gross final energy consumption","15,6"
"2008","Former Yugoslav Republic of Macedonia, the","Percentage","Share of renewable energy in transport","0,3"
"2008","Former Yugoslav Republic of Macedonia, the","Percentage","Share of renewable energy in electricity","13,9"
"2008","Former Yugoslav Republic of Macedonia, the","Percentage","Share of renewable energy in heating and cooling","24,6"
"2008","Albania","Percentage","Share of renewable energy in gross final energy consumption","32,4"
"2008","Albania","Percentage","Share of renewable energy in transport","0,0"
"2008","Albania","Percentage","Share of renewable energy in electricity","73,3"
"2008","Albania","Percentage","Share of renewable energy in heating and cooling","37,1"
"2008","Serbia","Percentage","Share of renewable energy in gross final energy consumption","16,0"
"2008","Serbia","Percentage","Share of renewable energy in transport","0,7"
"2008","Serbia","Percentage","Share of renewable energy in electricity","26,3"
"2008","Serbia","Percentage","Share of renewable energy in heating and cooling","16,7"
"2009","European Union (current composition)","Percentage","Share of renewable energy in gross final energy consumption","12,4"
"2009","European Union (current composition)","Percentage","Share of renewable energy in transport","4,6"
"2009","European Union (current composition)","Percentage","Share of renewable energy in electricity","19,0"
"2009","European Union (current composition)","Percentage","Share of renewable energy in heating and cooling","14,9"
"2009","Belgium","Percentage","Share of renewable energy in gross final energy consumption","4,7"
"2009","Belgium","Percentage","Share of renewable energy in transport","2,1"
"2009","Belgium","Percentage","Share of renewable energy in electricity","6,2"
"2009","Belgium","Percentage","Share of renewable energy in heating and cooling","6,0"
"2009","Bulgaria","Percentage","Share of renewable energy in gross final energy consumption","12,1"
"2009","Bulgaria","Percentage","Share of renewable energy in transport","1,0"
"2009","Bulgaria","Percentage","Share of renewable energy in electricity","11,3"
"2009","Bulgaria","Percentage","Share of renewable energy in heating and cooling","21,7"
"2009","Czechia","Percentage","Share of renewable energy in gross final energy consumption","9,9"
"2009","Czechia","Percentage","Share of renewable energy in transport","4,1"
"2009","Czechia","Percentage","Share of renewable energy in electricity","6,4"
"2009","Czechia","Percentage","Share of renewable energy in heating and cooling","14,2"
"2009","Denmark","Percentage","Share of renewable energy in gross final energy consumption","20,0"
"2009","Denmark","Percentage","Share of renewable energy in transport","0,7"
"2009","Denmark","Percentage","Share of renewable energy in electricity","28,3"
"2009","Denmark","Percentage","Share of renewable energy in heating and cooling","29,5"
"2009","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in gross final energy consumption","9,9"
"2009","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in transport","5,9"
"2009","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in electricity","17,3"
"2009","Germany (until 1990 former territory of the FRG)","Percentage","Share of renewable energy in heating and cooling","9,2"
"2009","Estonia","Percentage","Share of renewable energy in gross final energy consumption","23,0"
"2009","Estonia","Percentage","Share of renewable energy in transport","0,4"
"2009","Estonia","Percentage","Share of renewable energy in electricity","6,1"
"2009","Estonia","Percentage","Share of renewable energy in heating and cooling","41,8"
"2009","Ireland","Percentage","Share of renewable energy in gross final energy consumption","5,1"
"2009","Ireland","Percentage","Share of renewable energy in transport","2,0"
"2009","Ireland","Percentage","Share of renewable energy in electricity","13,4"
"2009","Ireland","Percentage","Share of renewable energy in heating and cooling","4,3"
"2009","Greece","Percentage","Share of renewable energy in gross final energy consumption","8,5"
"2009","Greece","Percentage","Share of renewable energy in transport","1,1"
"2009","Greece","Percentage","Share of renewable energy in electricity","11,0"
"2009","Greece","Percentage","Share of renewable energy in heating and cooling","16,5"
"2009","Spain","Percentage","Share of renewable energy in gross final energy consumption","13,0"
"2009","Spain","Percentage","Share of renewable energy in transport","3,7"
"2009","Spain","Percentage","Share of renewable energy in electricity","27,8"
"2009","Spain","Percentage","Share of renewable energy in heating and cooling","13,3"
"2009","France","Percentage","Share of renewable energy in gross final energy consumption","12,3"
"2009","France","Percentage","Share of renewable energy in transport","6,6"
"2009","France","Percentage","Share of renewable energy in electricity","15,1"
"2009","France","Percentage","Share of renewable energy in heating and cooling","15,1"
"2009","Croatia","Percentage","Share of renewable energy in gross final energy consumption","23,6"
"2009","Croatia","Percentage","Share of renewable energy in transport","1,3"
"2009","Croatia","Percentage","Share of renewable energy in electricity","35,9"
"2009","Croatia","Percentage","Share of renewable energy in heating and cooling","31,2"
"2009","Italy","Percentage","Share of renewable energy in gross final energy consumption","12,8"
"2009","Italy","Percentage","Share of renewable energy in transport","3,9"
"2009","Italy","Percentage","Share of renewable energy in electricity","18,8"
"2009","Italy","Percentage","Share of renewable energy in heating and cooling","16,4"
"2009","Cyprus","Percentage","Share of renewable energy in gross final energy consumption","5,6"
"2009","Cyprus","Percentage","Share of renewable energy in transport","2,0"
"2009","Cyprus","Percentage","Share of renewable energy in electricity","0,6"
"2009","Cyprus","Percentage","Share of renewable energy in heating and cooling","16,3"
"2009","Latvia","Percentage","Share of renewable energy in gross final energy consumption","34,3"
"2009","Latvia","Percentage","Share of renewable energy in transport","1,9"
"2009","Latvia","Percentage","Share of renewable energy in electricity","41,9"
"2009","Latvia","Percentage","Share of renewable energy in heating and cooling","47,9"
"2009","Lithuania","Percentage","Share of renewable energy in gross final energy consumption","19,8"
"2009","Lithuania","Percentage","Share of renewable energy in transport","4,5"
"2009","Lithuania","Percentage","Share of renewable energy in electricity","5,9"
"2009","Lithuania","Percentage","Share of renewable energy in heating and cooling","33,7"
"2009","Luxembourg","Percentage","Share of renewable energy in gross final energy consumption","2,9"
"2009","Luxembourg","Percentage","Share of renewable energy in transport","2,2"
"2009","Luxembourg","Percentage","Share of renewable energy in electricity","4,1"
"2009","Luxembourg","Percentage","Share of renewable energy in heating and cooling","4,7"
"2009","Hungary","Percentage","Share of renewable energy in gross final energy consumption","11,7"
"2009","Hungary","Percentage","Share of renewable energy in transport","5,7"
"2009","Hungary","Percentage","Share of renewable energy in electricity","7,0"
"2009","Hungary","Percentage","Share of renewable energy in heating and cooling","17,0"
"2009","Malta","Percentage","Share of renewable energy in gross final energy consumption","0,2"
"2009","Malta","Percentage","Share of renewable energy in transport","0,0"
"2009","Malta","Percentage","Share of renewable energy in electricity","0,0"
"2009","Malta","Percentage","Share of renewable energy in heating and cooling","2,0"
"2009","Netherlands","Percentage","Share of renewable energy in gross final energy consumption","4,3"
"2009","Netherlands","Percentage","Share of renewable energy in transport","4,5"
"2009","Netherlands","Percentage","Share of renewable energy in electricity","9,1"
"2009","Netherlands","Percentage","Share of renewable energy in heating and cooling","3,4"
"2009","Austria","Percentage","Share of renewable energy in gross final energy consumption","30,0"
"2009","Austria","Percentage","Share of renewable energy in transport","11,1"
"2009","Austria","Percentage","Share of renewable energy in electricity","67,8"
"2009","Austria","Percentage","Share of renewable energy in heating and cooling","27,7"
"2009","Poland","Percentage","Share of renewable energy in gross final energy consumption","8,7"
"2009","Poland","Percentage","Share of renewable energy in transport","5,3"
"2009","Poland","Percentage","Share of renewable energy in electricity","5,8"
"2009","Poland","Percentage","Share of renewable energy in heating and cooling","11,5"
"2009","Portugal","Percentage","Share of renewable energy in gross final energy consumption","24,4"
"2009","Portugal","Percentage","Share of renewable energy in transport","3,9"
"2009","Portugal","Percentage","Share of renewable energy in electricity","37,6"
"2009","Portugal","Percentage","Share of renewable energy in heating and cooling","38,0"
"2009","Romania","Percentage","Share of renewable energy in gross final energy consumption","22,7"
"2009","Romania","Percentage","Share of renewable energy in transport","4,5"
"2009","Romania","Percentage","Share of renewable energy in electricity","30,9"
"2009","Romania","Percentage","Share of renewable energy in heating and cooling","26,4"
"2009","Slovenia","Percentage","Share of renewable energy in gross final energy consumption","20,1"
"2009","Slovenia","Percentage","Share of renewable energy in transport","2,3"
"2009","Slovenia","Percentage","Share of renewable energy in electricity","33,8"
"2009","Slovenia","Percentage","Share of renewable energy in heating and cooling","27,6"
"2009","Slovakia","Percentage","Share of renewable energy in gross final energy consumption","9,4"
"2009","Slovakia","Percentage","Share of renewable energy in transport","5,3"
"2009","Slovakia","Percentage","Share of renewable energy in electricity","17,8"
"2009","Slovakia","Percentage","Share of renewable energy in heating and cooling","8,2"
"2009","Finland","Percentage","Share of renewable energy in gross final energy consumption","31,3"
"2009","Finland","Percentage","Share of renewable energy in transport","4,6"
"2009","Finland","Percentage","Share of renewable energy in electricity","27,3"
"2009","Finland","Percentage","Share of renewable energy in heating and cooling","43,1"
"2009","Sweden","Percentage","Share of renewable energy in gross final energy consumption","48,2"
"2009","Sweden","Percentage","Share of renewable energy in transport","8,9"
"2009","Sweden","Percentage","Share of renewable energy in electricity","58,3"
"2009","Sweden","Percentage","Share of renewable energy in heating and cooling","63,6"
"2009","United Kingdom","Percentage","Share of renewable energy in gross final energy consumption","3,3"
"2009","United Kingdom","Percentage","Share of renewable energy in transport","2,9"
"2009","United Kingdom","Percentage","Share of renewable energy in electricity","6,7"
"2009","United Kingdom","Percentage","Share of renewable energy in heating and cooling","2,3"
"2009","Iceland","Percentage","Share of renewable energy in gross final energy consumption","69,6"
"2009","Iceland","Percentage","Share of renewable energy in transport","0,1"
"2009","Iceland","Percentage","Share of renewable energy in electricity","92,9"
"2009","Iceland","Percentage","Share of renewable energy in heating and cooling","62,1"
"2009","Norway","Percentage","Share of renewable energy in gross final energy consumption","64,8"
"2009","Norway","Percentage","Share of renewable energy in transport","5,6"
